Website_ID,Domain,URL_Accessed,Audit_Status,Last_Error,Retry_Count,Audit_Level,Run_ID,Access_Date_UTC,Country_or_Market_Observed,Access_Locale,Browser,Headless_Audit,Cookie_Banner_Present,Banner_Type,Consent_Layer_Depth,CMP_Vendor,CMP_Evidence,IAB_TCF_Mentioned,TCF_Evidence,L1_Evidence_Quote,L1_Screenshot_Ref,L1_Accept_All_Present,L1_Reject_All_Present,L1_Manage_Preferences_Present,Accept_Click_Count,Reject_Click_Count,Manage_Click_Count,EE_Click_Asymmetry_RejectMinusAccept,EE_Hidden_Reject_Path,AE_Accept_Button_Prominence_1to3,AE_Reject_Button_Prominence_1to3,AE_Size_Asymmetry_LargerEqualSmaller,AE_Primary_Action_Is_Accept,L2_Available,L2_Evidence_Quote,L2_Screenshot_Ref,L2_Toggle_Count,L2_Vendor_Count,L2_Text_Word_Count,L2_Information_Density_Score_1to5,L2_Germane_Support_Score_1to5,CL_Toggle_Vendor_Complexity_Index,CL_Germane_Suppression_Indicators,AA_RePrompting_After_Reject,AA_RePrompt_Frequency_Observed,SP_Message_ID,SP_Campaign_ID,SP_Variant_Evidence,OT_Purpose_Count,OT_Vendor_Count,Evidence_JSON_Ref
ACLDP_0619,site-0619.invalid,https://site-0619.invalid,Completed,,0.0,L1,20260311T015418Z,2026-03-11T01:56:08Z,,en-US,Chromium,Yes,No,None,,Sourcepoint,HTML match: /sourcepoint/,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0619.json
ACLDP_0620,site-0620.invalid,https://site-0620.invalid,Failed,"Navigation error: Page.goto: net::ERR_CONNECTION_REFUSED at https://site-0620.invalid/
Call log:
  - navigating to ""https://site-0620.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T033428Z,2026-03-11T03:36:01Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0620.json
ACLDP_0621,site-0621.invalid,https://site-0621.invalid,Failed,"Navigation error: Page.goto: Navigation to ""https://site-0621.invalid/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""https://site-0621.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T033428Z,2026-03-11T03:36:02Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0621.json
ACLDP_0622,site-0622.invalid,https://site-0622.invalid,Failed,"Navigation error: Page.goto: Navigation to ""https://site-0622.invalid/"" is interrupted by another navigation to ""https://www.site-0621.invalid/""
Call log:
  - navigating to ""https://site-0622.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T033428Z,2026-03-11T03:36:02Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0622.json
ACLDP_0623,site-0623.invalid,https://site-0623.invalid,Failed,"Navigation error: Page.goto: Navigation to ""https://site-0623.invalid/"" is interrupted by another navigation to ""https://www.redhasite-0211.invalidm/en""
Call log:
  - navigating to ""https://site-0623.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T033428Z,2026-03-11T03:36:03Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0623.json
ACLDP_0624,site-0624.invalid,https://site-0624.invalid,Failed,"Navigation error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://site-0624.invalid/
Call log:
  - navigating to ""https://site-0624.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T033428Z,2026-03-11T03:36:04Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0624.json
ACLDP_0625,site-0625.invalid,https://site-0625.invalid,Failed,"Navigation error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://site-0625.invalid/
Call log:
  - navigating to ""https://site-0625.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T033428Z,2026-03-11T03:36:04Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0625.json
ACLDP_0626,site-0626.invalid,https://site-0626.invalid,Failed,"Navigation error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://site-0626.invalid/
Call log:
  - navigating to ""https://site-0626.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T033428Z,2026-03-11T03:36:04Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0626.json
ACLDP_0627,site-0627.invalid,https://site-0627.invalid,Failed,"Navigation error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://site-0627.invalid/
Call log:
  - navigating to ""https://site-0627.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T033428Z,2026-03-11T03:36:04Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0627.json
ACLDP_0628,site-0628.invalid,https://site-0628.invalid,Completed,,0.0,L1,20260311T015418Z,2026-03-11T01:56:16Z,,en-US,Chromium,Yes,No,None,,OneTrust,HTML match: /onetrust/,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0628.json
